"FilingID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","Other"
1026600,"VIEX GP, LLC (RELYING ADVISOR)","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1026600,"VIEX SPECIAL OPPORTUNITIES GP II, LLC (RELYING ADVISOR)","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1026600,"VIEX SPECIAL OPPORTUNITIES GP III, LLC (RELYING ADVISOR)","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1022666,"JUNIPER TGX INVESTORS, LLC (RELYING ADVISER)","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1022666,"JUNIPER HF INVESTORS II, LLC (RELYING ADVISER)","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1023407,"BRAEMAR CAPITAL MANAGEMENT, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1023407,"BRAEMAR CAPITAL MANAGEMENT II, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1023407,"BRAEMAR CAPITAL MANAGEMENT III, L.P. (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1024096,"XIANG HE CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1024369,"LCM PARTNERS LIMITED (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UNITED KINGDOM"
1025908,"ACUMEN CAPITAL PARTNERS LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1026664,"SOFTBANK CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1027385,"VISION CAPITAL MANAGEMENT LIMITED (RELYING ADVISOR)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GUERNSEY"
1027568,"CDH V HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH IV HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH III HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH V MANAGEMENT COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH CHINA MANAGEMENT COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH V FEEDER HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH IV FEEDER HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH CHINA GROWTH CAPITAL HOLDINGS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027568,"CDH CHINA GROWTH CAPITAL HOLDINGS INVESTORS COMPANY LIMITED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1027833,"ASTRA LOGIX MANAGER, LLC (""RELYING ADVISER"")","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1027904,"IDALION CAPITAL (US) LP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USA"
1027972,"REGENESIS CAPITAL LP","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1028082,"SCM ENERGY GP, LP (""RELYING ADVISER"")","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","",""
1028325,"LOTUS INNOVATIONS FUND II L.P.","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1028512,"MAN FRM","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1028844,"JPMORGAN ASSET MANAGEMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NON-US"
1029407,"HPEF CAPITAL PARTNERS (SINGAPORE) PTE. LTD.","","","","","Y","Y","","Y","","Y","","","","","Y","","","","","","","Y","Y","Y","","","","","","","","Y","","Y","","","","","","Y","","","","","","Y","","","","","","","Y",""
1029408,"HPEF CAPITAL PARTNERS (MAURITIUS) LIMITED","","","","","Y","","","","","Y","","","","","Y","","","","","","","Y","Y","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","",""
1029409,"HPEF CAPITAL PARTNERS (SINGAPORE) PTE. LTD.","","","","","Y","Y","","Y","","Y","","","","","Y","","","","","","","Y","Y","Y","","","","","","","","Y","","Y","","","","","","Y","","","","","","Y","","","","","","","Y",""
1030509,"WHITE OAK INVESTMENTS LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030509,"WHITE OAK SBIC, LLC (RELYING ADVISER)","","","","","","","","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030509,"WHITE OAK INVESTMENTS LLC (RELYING ADVISER)","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030509,"WHITE OAK GUGGENHEIM CAPITAL PARTNERS, LLC (RELYING ADVISER)","","","","","","","","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030609,"WHITE OAK INVESTMENTS LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030609,"WHITE OAK SBIC, LLC (RELYING ADVISER)","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030609,"WHITE OAK INVESTMENTS LLC (RELYING ADVISER)","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030609,"WHITE OAK GUGGENHEIM CAPITAL PARTNERS, LLC (RELYING ADVISER)","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1030765,"SALAURMOR CAPITAL LP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1031009,"NEWCOGEN GROUP, INC.","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1031271,"AQUA CAPITAL CONSULTORIA LTDA.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BRAZIL"
1032188,"CENTURION INVESTMENT GROUP, LP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1033181,"LOREM IPSUM PARTNERS, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034941,"KEARNY VENTURE CAPITAL II, LLC (RELYING ADVISER)","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VEF MANAGEMENT V, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VEF MANAGEMENT IV, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VEF MANAGEMENT III, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT V, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT IV, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT VI, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT III, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1034996,"VENROCK MANAGEMENT VII, LLC","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1036497,"HPEF CAPITAL PARTNERS (SINGAPORE) PTE. LTD.","","","","","Y","Y","","Y","","Y","","","","","Y","","","","","","","Y","Y","Y","","","","","","","","Y","","Y","","","","","","","","","","","","Y","","","","","","","Y",""
1036502,"HPEF CAPITAL PARTNERS (MAURITIUS) LIMITED","","","","","Y","","","","","Y","","","","","Y","","","","","","","Y","Y","","Y","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","",""
1036648,"BIOMATICS CAPITAL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","",""
1036719,"KARP ADVISORS LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","",""
1037430,"VINTAGE INVESTMENT PARTNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ISRAEL"
1040434,"THE GROWTH FUND PTY LTD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AUSTRALIA / NEW ZEALAND"
1040837,"BOW CAPITAL","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040941,"REID PARTNERS, LLC","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040986,"TCG","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040986,"TCG II","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1040986,"TCG III","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1041071,"AGSM, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041071,"AGSM II, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041071,"ALLIED GROWTH STRATEGIES & MANAGEMENT, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041077,"AGSM, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041077,"AGSM II, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041077,"ALLIED GROWTH STRATEGIES & MANAGEMENT, LLC (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","",""
1041194,"HOVDE CAPITAL LTD (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","",""
1041316,"MAN FRM","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1041573,"HOVDE CAPITAL LTD (RELYING ADVISER)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","",""
1041741,"ONELIBERTY","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1041882,"CENTURION INVESTMENT GROUP, LP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
